Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,5924,0,62,63.68006253190218,24.128054000357224,270.41961999975683,159808.8787981094,9.881356728352962,0.0,62,71,76,78,88,97,110,120,230,270,270
POST,/owners,1433,0,4,4.057802585488128,1.1462160000519361,67.42321599995194,124.58129797627355,2.3902741714601277,0.0,4,4,4,4,5,7,8,9,67,67,67
GET,/owners/1,414,0,3,3.2737122391217826,0.9620439996069763,66.37313999999606,209.0,0.6905607166674758,0.0,3,3,3,4,4,4,5,6,66,66,66
GET,/owners/10,469,0,3,3.0273637825097457,1.300798000102077,8.933994000017265,293.0,0.7823018746788554,0.0,3,3,3,3,4,4,5,7,9,9,9
GET,/owners/2,444,0,3,3.016525200466178,1.3330450001376448,8.869308000157616,214.0,0.7406013483100464,0.0,3,3,3,3,4,4,5,7,9,9,9
GET,/owners/3,451,0,3,3.0330267405778093,1.023778999751812,21.500892999938515,291.0,0.7522774956933129,0.0,3,3,3,3,4,4,6,8,22,22,22
GET,/owners/4,402,0,3,3.013324990050349,1.2388000000100874,9.464718999879551,208.0,0.6705444640104475,0.0,3,3,3,3,4,4,5,6,9,9,9
GET,/owners/5,406,0,3,2.9704638423687904,1.3586119998763024,6.899145999796019,211.0,0.6772165482294569,0.0,3,3,3,3,4,4,5,5,7,7,7
GET,/owners/6,481,0,3,3.450950900205574,1.3719109997509804,90.39914300001328,283.0,0.8023181273358837,0.0,3,3,3,4,4,5,8,10,90,90,90
GET,/owners/7,447,0,3,2.988341078291598,1.3812740003231738,9.068379000382265,202.0,0.7456054114743036,0.0,3,3,3,3,4,4,5,5,9,9,9
GET,/owners/8,465,0,3,2.9910088774129457,1.1369240000931313,9.107931000016833,209.0,0.7756297904598459,0.0,3,3,3,3,4,4,5,7,9,9,9
GET,/owners/9,448,0,3,3.0217445133818694,1.4611249998779385,11.547224999958416,216.0,0.7472734325290559,0.0,3,3,3,3,4,4,7,8,12,12,12
GET,/vets,2869,0,4,4.4780177657699065,1.672297999903094,16.936256000008143,653.0,4.785552406084512,0.0,4,5,5,5,6,6,7,9,14,17,17
,Aggregated,14653,0,5,27.949427333991643,0.9620439996069763,270.41961999975683,64819.46577492663,24.441512515286288,0.0,5,44,56,63,76,85,97,110,170,250,270
