Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,11655,11611,2,4.011924790390842,0.7363350000559876,1195.416140999896,953.3867009867009,38.98521031767511,38.83803320450671,2,2,2,2,3,3,4,6,830,1000,1200
POST,/owners,2887,2876,2,2.128017459647774,0.8554869996260095,73.64240600008998,0.47627294769657086,9.65682558448117,9.62003130618907,2,2,2,2,3,3,4,5,70,74,74
GET,/owners/1,858,852,2,1.9403106433488184,0.8138690000123461,18.182227999659517,1.4615384615384615,2.8699537067838046,2.8498841004426594,2,2,2,2,3,3,4,5,18,18,18
GET,/owners/10,834,831,2,1.9220676067158233,0.8278549998976814,26.70610899986059,1.0539568345323742,2.789675281419223,2.77964047824865,2,2,2,2,3,3,4,5,27,27,27
GET,/owners/2,856,852,2,2.215294060750528,0.7856060001358856,219.68671199965684,1.0,2.863263838003423,2.8498841004426594,2,2,2,2,3,3,4,7,220,220,220
GET,/owners/3,807,804,2,2.4008550495651533,0.8099029996628815,330.69477500021094,1.0817843866171004,2.699362052884068,2.6893272497134952,2,2,2,2,3,3,4,5,330,330,330
GET,/owners/4,845,842,2,1.9605732142009569,0.798201000179688,40.53623200024958,0.7384615384615385,2.826469559711323,2.81643475654075,2,2,2,2,3,3,4,6,41,41,41
GET,/owners/5,901,896,2,1.9085502896716517,0.806413999725919,13.599459000033676,1.1709211986681465,3.013785885562014,2.9970612136110595,2,2,2,2,3,3,4,5,14,14,14
GET,/owners/6,872,867,2,2.066627904815784,0.8470100001432002,136.43938399991384,1.6227064220183487,2.9167827882464774,2.900058116295523,2,2,2,2,3,3,3,4,140,140,140
GET,/owners/7,857,853,2,2.1386881365292236,0.7859779998398153,72.63454599979013,0.9428238039673279,2.866608772393614,2.85322903483285,2,2,2,2,3,3,4,7,73,73,73
GET,/owners/8,850,842,2,3.614626076459364,0.7810880001670739,519.8600650001026,1.9670588235294117,2.8431942316622774,2.81643475654075,2,2,2,2,3,3,4,7,520,520,520
GET,/owners/9,889,887,2,2.2785035905412507,0.8233170001403778,298.2606800001122,0.4859392575928009,2.973646672879723,2.966956804099341,2,2,2,2,3,3,4,5,300,300,300
GET,/vets,5885,0,4,4.419924400683286,2.0891909998681513,81.44898000000467,653.0,19.68493888627353,0.0,4,4,5,5,5,6,7,9,51,81,81
,Aggregated,28996,23013,2,3.3840758343566533,0.7363350000559876,1195.416140999896,516.1356738860533,96.98971757797575,76.97697512146351,2,2,3,3,4,5,6,7,330,1000,1200
