Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,2424,88,25,25.923907660069535,0.7479819998934545,225.40216200013674,34091.20957095709,4.048147496712252,0.1469624503756923,25,31,34,36,41,45,50,54,120,230,230
POST,/owners,576,18,6,6.457734479188638,1.8455580000136251,166.26280600007703,119.87673611111111,0.9619360388227133,0.03006050121320979,6,6,7,7,7,8,11,13,170,170,170
GET,/owners/1,167,4,5,4.716343371259819,2.30340600001,14.865020999877743,203.99401197604791,0.2788946501447797,0.006680111380713286,5,5,5,5,6,6,9,11,15,15,15
GET,/owners/10,182,7,4,5.34767673080241,2.235258999917278,119.76367500005836,281.7307692307692,0.3039450678224545,0.011690194916248252,4,5,5,5,6,7,11,12,120,120,120
GET,/owners/2,183,8,4,4.628992398907005,1.7051750000973698,9.495088000221585,204.6448087431694,0.30561509566763284,0.013360222761426573,4,5,5,5,6,6,8,9,9,9,9
GET,/owners/3,162,5,4,4.733831660497557,2.2280050000063056,11.714831999597664,282.01851851851853,0.2705445109188881,0.008350139225891609,4,5,5,5,6,7,9,10,12,12,12
GET,/owners/4,170,4,4,4.69994265295367,2.192557999933342,10.785461000068608,203.10588235294117,0.28390473368031466,0.006680111380713286,4,5,5,5,6,7,10,10,11,11,11
GET,/owners/5,179,3,4,4.6702037095021005,2.2543739999036916,14.946951000183617,207.46368715083798,0.29893498428691956,0.005010083535534965,4,5,5,5,6,7,8,10,15,15,15
GET,/owners/6,154,6,5,4.979929454544593,2.303506000089328,39.411396000105015,271.97402597402595,0.2571842881574615,0.01002016707106993,5,5,5,5,6,8,8,9,39,39,39
GET,/owners/7,187,5,5,4.812850251333258,2.22593099988444,15.828322999823285,196.59893048128342,0.3122952070483461,0.008350139225891609,5,5,5,5,6,7,10,12,16,16,16
GET,/owners/8,180,9,5,4.777686161134574,1.5502249998462503,13.66419699979815,198.55,0.3006050121320979,0.015030250606604895,5,5,5,5,6,7,10,14,14,14,14
GET,/owners/9,176,4,4,6.323714357970351,2.514411999982258,286.93142599991006,211.0909090909091,0.2939249007513846,0.006680111380713286,4,5,5,5,6,7,10,12,290,290,290
GET,/vets,1194,43,8,9.000150661650212,1.8232360000638437,472.9139710000254,629.4832495812395,1.994013247142916,0.07181119734266783,8,9,10,10,13,16,21,25,51,470,470
,Aggregated,5934,204,8,14.485188076853328,0.7479819998934545,472.9139710000254,14130.33805190428,9.90994523328816,0.3406856804163776,8,15,21,26,34,41,45,49,120,470,470
