Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,5968,0,58,69.14821828368164,23.436758000002555,3116.1615009998513,165157.54993297587,9.957141925444665,0.0,58,68,73,76,86,95,110,120,2800,3100,3100
POST,/owners,1471,0,4,13.180192524811591,1.2050929999531945,2295.833143999971,124.60571040108769,2.4542486213688175,0.0,4,4,4,4,5,7,9,15,2200,2300,2300
GET,/owners/1,441,0,3,14.912278324262083,0.9572950000347191,2202.1826830000464,209.0,0.735774059839326,0.0,3,3,3,3,4,4,7,9,2200,2200,2200
GET,/owners/10,417,0,3,12.861678441247756,0.9594699999979639,2038.1121629998233,293.0,0.6957319341337844,0.0,3,3,3,3,4,5,6,11,2000,2000,2000
GET,/owners/2,451,0,3,9.395097680710917,0.8957459999692219,2681.6927689999375,214.0,0.7524582788833016,0.0,3,3,3,3,4,5,7,12,2700,2700,2700
GET,/owners/3,460,0,3,12.504838530439784,1.3713170001210528,3129.0799260000313,291.0,0.7674740760228796,0.0,3,3,3,3,4,4,7,8,3100,3100,3100
GET,/owners/4,426,0,3,7.1749645305155525,1.0046340000826604,1629.3155870000646,208.0,0.7107477312733624,0.0,3,3,3,4,4,5,7,10,1600,1600,1600
GET,/owners/5,438,0,3,17.285939547947365,1.0057879999294528,2156.7905519998476,211.0,0.7307687941261333,0.0,3,3,3,3,4,5,6,10,2200,2200,2200
GET,/owners/6,418,0,3,7.18176520573985,1.3293230001636402,1714.0723159998288,283.0,0.697400356038182,0.0,3,3,3,3,4,4,6,7,1700,1700,1700
GET,/owners/7,427,0,3,7.496991604214874,1.0469349999766564,1389.5247469999958,202.0,0.7124161531777601,0.0,3,3,3,3,4,4,7,8,1400,1400,1400
GET,/owners/8,405,0,3,3.0906838074099454,1.0300019998794596,23.296330999983184,209.0,0.6757108712810136,0.0,3,3,3,3,4,4,6,7,23,23,23
GET,/owners/9,436,0,3,3.036299470191711,1.0495240001091588,8.292044000199894,216.0,0.7274319503173381,0.0,3,3,3,3,4,4,6,7,8,8,8
GET,/vets,2968,0,4,4.7623152577478,1.758616999950391,298.5211759998947,653.0,4.951876212251972,0.0,4,5,5,5,6,7,9,11,63,300,300
,Aggregated,14726,0,5,33.10707281196625,0.8957459999692219,3129.0799260000313,67145.91715333425,24.569180964158534,0.0,5,40,52,59,74,84,96,110,2400,3100,3100
