Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,2373,31,27,39.63262444837951,2.0940979999863885,4330.2297620000445,38233.1609776654,3.9649698750861306,0.051796909451188394,27,33,36,38,44,49,61,72,3800,4300,4300
POST,/owners,582,14,6,17.97117717182275,1.7431620000252224,4311.879607000037,120.77319587628865,0.9724452032448917,0.023392152655375403,6,6,7,7,8,9,11,17,4300,4300,4300
GET,/owners/1,168,5,5,15.564302053574254,2.406717999974717,1789.8237770000378,202.7797619047619,0.2807058318645048,0.008354340234062644,5,5,5,5,7,9,11,18,1800,1800,1800
GET,/owners/10,197,4,4,27.508251467003596,2.162884000028953,3537.5403820000884,287.0507614213198,0.32916100522206815,0.006683472187250115,4,5,5,5,6,8,12,960,3500,3500,3500
GET,/owners/2,189,1,4,4.694649894176225,2.023951000069246,11.556264999967425,212.86772486772486,0.31579406084756795,0.0016708680468125287,4,5,5,5,6,7,9,10,12,12,12
GET,/owners/3,149,3,4,4.658228959730981,2.528358000006392,8.426130999964698,285.1409395973154,0.24895933897506678,0.005012604140437586,4,5,5,5,6,7,8,8,8,8,8
GET,/owners/4,173,7,4,24.359424150292845,1.9158460000312516,3413.399697999921,199.58381502890174,0.2890601720985675,0.011696076327687701,4,5,5,5,6,7,9,12,3400,3400,3400
GET,/owners/5,197,3,4,22.42939205075749,1.8989510000437804,3447.3809349999556,207.78680203045684,0.32916100522206815,0.005012604140437586,4,5,5,5,7,8,11,37,3400,3400,3400
GET,/owners/6,189,2,5,16.813981714294364,2.5355789999821354,2156.7023360000803,280.005291005291,0.31579406084756795,0.0033417360936250575,5,5,5,5,6,7,10,130,2200,2200,2200
GET,/owners/7,176,3,4,4.810735482955732,1.9069090000130018,33.390987000075256,198.5568181818182,0.2940727762390051,0.005012604140437586,4,5,5,5,6,7,8,10,33,33,33
GET,/owners/8,175,4,4,4.780117891432708,2.4081610000052933,12.313851999977032,204.22285714285715,0.29240190819219253,0.006683472187250115,4,5,5,5,6,8,9,12,12,12,12
GET,/owners/9,172,4,4,5.247642662788811,2.4206339999750526,111.78065000001425,210.97674418604652,0.28738930405175495,0.006683472187250115,4,5,5,5,6,8,10,10,110,110,110
GET,/vets,1158,22,8,22.43779019257398,1.6816840000046795,4227.326686000083,640.594127806563,1.9348651982089082,0.036759097029875634,8,9,10,11,13,16,20,26,4200,4200,4200
,Aggregated,5898,103,8,26.195679038997486,1.6816840000046795,4330.2297620000445,15589.70481519159,9.854779740100295,0.17209940882169045,8,16,23,27,37,42,51,62,3800,4300,4300
