Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,11608,7815,2,18.670290293161358,0.38822200008326035,1213.5910059998878,21654.11716057891,38.72075140512523,26.06845901370207,2,8,17,22,32,39,96,440,1100,1200,1200
POST,/owners,2880,1919,2,7.171317705555844,0.4045840000799217,888.0109940000693,41.32465277777778,9.606802553993854,6.401199340664655,2,3,3,4,5,7,19,100,850,890,890
GET,/owners/1,844,547,2,7.142069439572894,0.42489099996601,834.5957829999406,73.54620853080569,2.8153268595731986,1.8246253461925825,2,2,3,3,4,7,25,110,830,830,830
GET,/owners/10,905,613,2,8.954676506080945,0.457250999943426,903.8875190001363,94.53701657458564,3.0188042747793187,2.044781238054942,2,2,3,3,4,6,23,200,900,900,900
GET,/owners/2,899,594,2,6.894168528365081,0.4628920000868675,723.4316639999179,72.60289210233593,2.9987901027918316,1.9814030267612324,2,2,3,3,4,7,22,180,720,720,720
GET,/owners/3,867,579,2,5.803312561711482,0.4788109999935841,760.6560710000849,96.66435986159169,2.8920478521918995,1.9313675967925144,2,2,3,3,4,6,24,38,760,760,760
GET,/owners/4,860,563,2,6.725864153484476,0.4132089998165611,753.3170849999351,71.83255813953488,2.8686979848731644,1.8779964714925483,2,2,3,3,4,6,24,150,750,750,750
GET,/owners/5,862,572,2,8.213817548723746,0.3987329998835776,813.929078000001,70.9860788863109,2.8753693755356604,1.9080177294737792,2,2,3,3,4,7,14,260,810,810,810
GET,/owners/6,844,576,2,8.24827289928609,0.4051240000535472,790.5751050000163,89.86255924170617,2.8153268595731986,1.9213605107987708,2,2,3,3,4,8,27,170,790,790,790
GET,/owners/7,859,545,2,8.1476946530845,0.4496169999583799,864.5152149999831,73.83934807916182,2.865362289541917,1.8179539555300868,2,2,3,3,4,7,28,220,860,860,860
GET,/owners/8,846,568,2,5.363704482269992,0.5128650000187918,406.8575310000142,68.67848699763593,2.8219982502356946,1.8946749481487877,2,2,3,3,4,7,27,150,410,410,410
GET,/owners/9,856,580,2,8.388758911215204,0.5162109998764208,806.1662249999699,69.64485981308411,2.8553552035481733,1.9347032921237621,2,2,3,3,4,7,22,280,810,810,810
GET,/vets,5806,1116,4,5.994479536685484,0.4069980000167561,868.7474390001171,527.483637616259,19.367047093225107,3.722635989672618,4,4,4,5,6,9,19,30,800,870,870
GET,http://localhost:8081/owners,1,1,758.6282739998751,758.6282739998751,758.6282739998751,758.6282739998751,0.0,0.0033356953312478656,0.0033356953312478656,760,760,760,760,760,760,760,760,760,760,760
,Aggregated,28937,16588,2,11.64064543923058,0.38822200008326035,1213.5910059998878,8819.823755054083,96.5250158003195,55.3325141547396,2,3,4,5,20,32,50,190,920,1100,1200
