Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,2352,145,17,18.30486022152235,0.9899450001285004,121.16136899976482,34085.262329931975,3.9273187421520803,0.24211786463097434,17,22,25,26,29,31,34,39,66,120,120
POST,/owners,581,37,5,4.739454643704965,1.3906819999647269,57.42303399983939,115.84165232358004,0.9701412369006628,0.06178179994031759,5,5,5,5,6,6,7,8,57,57,57
GET,/owners/1,166,8,4,3.768353668660948,1.73893200008024,12.05777399991348,198.9277108433735,0.2771832105430465,0.013358227014122722,4,4,4,4,5,5,6,8,12,12,12
GET,/owners/10,180,7,4,4.140528077762913,1.026613000249199,44.10136199976478,281.60555555555555,0.30056010781776127,0.011688448637357383,4,4,4,5,6,6,7,9,44,44,44
GET,/owners/2,203,13,4,5.451030955667331,1.3297890000103507,362.5118170002679,200.29556650246306,0.3389650104833641,0.021707118897949424,4,4,4,4,5,5,6,10,360,360,360
GET,/owners/3,188,10,4,4.143523925539197,1.6250580001724302,50.43463600031828,275.52127659574467,0.31391833483188397,0.016697783767653403,4,4,4,4,5,6,7,21,50,50,50
GET,/owners/4,189,12,4,4.310656402101515,1.258636000329716,47.6943180001399,194.79365079365078,0.3155881132086493,0.020037340521184083,4,4,4,4,5,6,17,29,48,48,48
GET,/owners/5,179,4,4,4.078093312822013,1.8185610001637542,52.19872299994677,206.2849162011173,0.2988903294409959,0.006679113507061361,4,4,4,4,5,6,7,8,52,52,52
GET,/owners/6,165,11,4,3.9198324484735196,1.943243999448896,31.788411999968957,264.1333333333333,0.27551343216628116,0.018367562144418745,4,4,4,4,5,6,7,8,32,32,32
GET,/owners/7,170,12,4,3.7001237882631197,0.6829130002188322,8.851448000314122,187.74117647058824,0.28386232405010786,0.020037340521184083,4,4,4,4,5,6,6,7,9,9,9
GET,/owners/8,161,12,4,4.433875875770213,1.5055660001053184,70.67888300025515,193.4223602484472,0.2688343186592198,0.020037340521184083,4,4,4,5,5,7,8,20,71,71,71
GET,/owners/9,157,10,4,3.850848063729633,1.2319160000515694,9.475170000314392,202.2420382165605,0.26215520515215845,0.016697783767653403,4,4,4,4,5,6,7,8,9,9,9
GET,/vets,1229,84,6,6.939960033359285,1.1362479999661446,411.6567710002528,608.3685923515053,2.0521576250446034,0.14026138364828858,6,7,7,8,9,12,15,23,77,410,410
,Aggregated,5920,365,6,10.427562861150053,0.6829130002188322,411.6567710002528,13745.241047297297,9.885087990450815,0.6094691075193492,6,11,15,18,25,28,31,33,71,410,410
