Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,11566,5978,3,23.277947958844837,0.42180200034636073,1563.7456089998523,45546.37402732146,38.58918088754365,19.945194824981492,3,21,32,37,50,62,87,130,1300,1600,1600
POST,/owners,2996,1590,2,7.217993225640749,0.5915259998801048,1614.4003950003025,58.28504672897196,9.995952441559812,5.304928031401903,2,3,3,3,4,6,11,21,1200,1600,1600
GET,/owners/1,888,456,2,4.855150920054445,0.6056920001356048,828.4815639999579,101.67567567567568,2.9627522590471003,1.5214133222133759,2,2,2,3,3,4,8,21,830,830,830
GET,/owners/10,879,467,2,4.17892340954493,0.5664790005539544,698.0729389997578,137.33333333333334,2.932724364529731,1.5581140821790493,2,2,2,3,3,4,7,15,700,700,700
GET,/owners/2,890,473,2,6.834594396636777,0.4521569999269559,1131.1844100000599,100.26741573033708,2.9694251244954044,1.5781326785239622,2,2,2,3,3,4,6,19,1100,1100,1100
GET,/owners/3,798,427,2,6.782758071424092,0.5591459994320758,946.6346160006651,135.28947368421052,2.6624733138734076,1.4246567732129638,2,2,2,3,3,4,13,45,950,950,950
GET,/owners/4,829,436,2,6.757760234020447,0.5736020002586883,1229.0343960003156,98.60554885404102,2.765902728322124,1.454684667730333,2,2,2,3,3,4,12,31,1200,1200,1200
GET,/owners/5,885,442,2,6.816790359339984,0.5553279997911886,1255.2221039995857,105.61920903954802,2.9527429608746436,1.4747032640752458,2,2,2,3,3,4,6,13,1300,1300,1300
GET,/owners/6,888,468,2,7.697912597983952,0.6185749998621759,1189.192562000244,133.85135135135135,2.9627522590471003,1.5614505149032014,2,2,2,3,3,4,8,43,1200,1200,1200
GET,/owners/7,854,443,2,6.315606850120993,0.5869470005563926,772.8291029998218,97.21545667447307,2.8493135464259276,1.478039696799398,2,2,2,3,3,4,5,12,770,770,770
GET,/owners/8,909,455,2,8.07151349066205,0.6070139997973456,1204.2873430000327,104.38503850385038,3.032817346254295,1.5180768894892236,2,2,2,3,3,4,7,23,1200,1200,1200
GET,/owners/9,835,446,2,4.861600542540826,0.5878399997527595,959.5853649998389,100.62754491017964,2.785921324667037,1.4880489949718545,2,2,2,3,3,4,6,12,960,960,960
GET,/vets,5725,0,4,3.9597120889030166,1.323723000496102,53.225911000481574,653.0,19.101077345771,0.0,4,4,4,4,5,6,8,11,40,53,53
,Aggregated,28942,12081,2,12.724346717851487,0.42180200034636073,1614.4003950003025,18370.07190242554,96.56303590241123,40.307443740482,2,4,4,8,33,48,65,89,1200,1600,1600
