Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,5970,1875,39,36.494079157779765,0.49692700031300774,1386.5097079997213,87971.60016750419,9.95634439903956,3.1269925876380524,39,46,50,52,60,69,77,87,1100,1400,1400
POST,/owners,1521,487,3,6.631531491786027,0.5793190002805204,1254.1899180005203,84.55358316896779,2.5366163870919882,0.8121842080958569,3,3,4,4,4,5,8,24,1100,1300,1300
GET,/owners/1,433,135,2,7.351092272511204,0.7501809996028896,1216.0986019998745,143.83833718244804,0.7221268215718809,0.22514346630993978,2,3,3,3,4,4,5,13,1200,1200,1200
GET,/owners/10,427,139,2,7.741146016402676,0.6309439995675348,1190.1723920000222,197.62060889929742,0.7121204452914391,0.2318143838302343,2,3,3,3,4,4,6,8,1200,1200,1200
GET,/owners/2,428,120,2,4.428775413537542,0.6472020004366641,464.9091790006423,154.0,0.7137881746715128,0.20012752560883537,2,3,3,3,3,4,7,36,460,460,460
GET,/owners/3,395,113,2,5.26868056960804,0.7387630002995138,623.4083330000431,207.75189873417722,0.658753105129083,0.18845341994831996,2,3,3,3,4,5,6,50,620,620,620
GET,/owners/4,444,154,2,2.890889569831776,0.5962900004305993,141.41251500041108,135.85585585585585,0.7404718447526909,0.2568303245313387,2,3,3,3,4,4,6,7,140,140,140
GET,/owners/5,439,139,2,8.30585663327575,0.826664999294735,1186.954911000612,144.19134396355352,0.7321331978523227,0.2318143838302343,2,3,3,3,4,5,6,11,1200,1200,1200
GET,/owners/6,467,164,2,6.879342359764312,0.7278630000655539,1161.696022999422,183.61670235546038,0.7788296204943843,0.273507618332075,2,3,3,3,3,4,7,10,1200,1200,1200
GET,/owners/7,411,111,2,11.515783000011126,0.6504299999505747,1388.0650490000335,147.44525547445255,0.6854367752102611,0.18511796118817272,2,3,3,3,4,4,6,8,1400,1400,1400
GET,/owners/8,462,149,2,8.097350842015981,0.6823280000389786,1085.5959219998113,141.5952380952381,0.7704909735940162,0.24849167763097058,2,3,3,3,4,5,17,87,1100,1100,1100
GET,/owners/9,469,151,2,5.479619727127639,0.5642109999826062,586.9031600004746,146.45628997867803,0.7821650792545316,0.2518271363911178,2,3,3,3,3,4,7,29,590,590,590
GET,/vets,2932,292,4,4.21528802524684,0.7188859999587294,409.9569629997859,587.9672578444747,4.889782542375878,0.4869769789814994,4,4,4,4,5,5,11,13,140,410,410
GET,http://localhost:8081/owners,1,1,783.6847059998036,783.6847059998036,783.6847059998036,783.6847059998036,0.0,0.0016677293800736281,0.0016677293800736281,780,780,780,780,780,780,780,780,780,780,780
,Aggregated,14799,4030,3,18.29519843496371,0.49692700031300774,1388.0650490000335,35660.63200216231,24.68072709570962,6.720949401696721,3,4,33,40,51,59,70,79,1100,1400,1400
