Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,11457,8204,2,25.102570800122354,0.3936350000230959,3809.0739240000175,15311.403421489045,38.3078741195373,27.431072643509122,2,2,12,16,27,34,50,320,2500,3500,3800
POST,/owners,2927,2105,2,17.193356088486215,0.49491500004705813,2712.765337999997,34.76289716433208,9.78678079321687,7.0383237341036935,2,2,3,3,4,6,13,99,2400,2700,2700
GET,/owners/1,868,626,2,15.632558440092428,0.5748749999838765,2172.0088149999697,58.26958525345622,2.902263658528269,2.0931072007358256,2,2,2,3,3,4,11,170,2200,2200,2200
GET,/owners/10,901,660,2,15.745712971140904,0.500694000038493,2187.7144989999806,78.37180910099889,3.012603175499966,2.206790339433937,2,2,2,3,3,4,10,130,2200,2200,2200
GET,/owners/2,831,588,2,16.686543635379525,0.5735910000339572,2268.154774999971,62.57761732851986,2.778549654650912,1.9660495751320533,2,2,2,3,3,5,12,720,2300,2300,2300
GET,/owners/3,876,636,2,15.418853097030603,0.41685899998356035,2159.120803999997,79.72602739726027,2.9290126323395893,2.126543417999976,2,2,2,3,3,5,14,150,2200,2200,2200
GET,/owners/4,856,627,2,20.17627758411208,0.517016000003423,2204.183120000039,55.64485981308411,2.8621401978112884,2.0964508224622405,2,2,2,3,3,5,10,730,2200,2200,2200
GET,/owners/5,842,591,2,14.80288923634248,0.4932949999556513,2550.795945999994,62.89904988123516,2.8153294936414777,1.9760804403112984,2,2,2,3,3,4,8,190,2600,2600,2600
GET,/owners/6,870,614,2,16.194449040229028,0.5799829999659778,2591.7150490000154,83.2735632183908,2.908950901981099,2.0529837400188446,2,2,2,3,3,5,15,300,2600,2600,2600
GET,/owners/7,871,624,2,14.052385471873633,0.5321329999787849,2222.5637929999493,57.28358208955224,2.912294523707514,2.0864199572829953,2,2,2,3,3,5,14,170,2200,2200,2200
GET,/owners/8,836,604,2,21.36702829066755,0.39498799998227696,2181.0673489999886,58.0,2.795267763282987,2.019547522754694,2,2,2,3,3,5,23,520,2200,2200,2200
GET,/owners/9,847,595,2,21.503707360095216,0.5071810001027188,2512.2555399999555,64.26446280991736,2.832047602273553,1.9894549272169586,2,2,2,3,3,6,60,1100,2500,2500,2500
GET,/vets,5820,44,4,4.510838723023409,1.4674749999699088,417.41997999997693,648.0632302405498,19.45987844773563,0.14711935596226247,4,4,4,5,6,9,13,18,74,420,420
,Aggregated,28802,16518,2,17.757369975279293,0.3936350000230959,3809.0739240000175,6244.882855357267,96.30299296420645,55.2299436769239,2,3,4,4,14,26,38,120,2400,3200,3800
