Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,2430,0,20,21.11604090740584,6.4005020000195145,256.6616020000083,39044.67736625514,4.0535516325463545,0.0,20,24,27,28,31,33,39,43,250,260,260
POST,/owners,587,0,5,5.312808090286174,2.3422419999405975,113.68530099991858,123.73764906303236,0.9791912791377407,0.0,5,5,5,5,7,8,12,15,110,110,110
GET,/owners/1,169,0,4,3.77828160354059,2.296430999876975,8.670921000089038,209.0,0.2819136732100139,0.0,4,4,4,4,5,6,8,8,9,9,9
GET,/owners/10,155,0,4,3.8072086451657308,2.056135999964681,14.4303319999608,293.0,0.2585598777961666,0.0,4,4,4,4,5,6,7,9,14,14,14
GET,/owners/2,191,0,4,3.819775874350129,1.5752480001083313,13.71362300005785,214.0,0.31861249457463114,0.0,4,4,4,4,5,5,8,9,14,14,14
GET,/owners/3,158,0,4,4.055268063290919,1.7239829999198264,11.122743999976592,291.0,0.2635642625277053,0.0,4,4,4,4,6,8,9,10,11,11,11
GET,/owners/4,221,0,4,4.770365941179047,1.9124339999052609,232.51203699999223,208.0,0.3686563418900182,0.0,4,4,4,4,4,5,7,9,230,230,230
GET,/owners/5,185,0,4,3.8809123837811943,2.021115999923495,23.610676999965108,211.0,0.3086037251115537,0.0,4,4,4,4,5,6,8,16,24,24,24
GET,/owners/6,173,0,4,3.744816109820074,2.190460999827337,10.920680999902288,283.0,0.2885861861853989,0.0,4,4,4,4,5,6,8,8,11,11,11
GET,/owners/7,174,0,4,3.7368162413726504,1.7017939999277587,8.74727999996594,202.0,0.2902543144292451,0.0,4,4,4,4,5,5,7,8,9,9,9
GET,/owners/8,188,0,4,3.7834416276519063,2.1224460001576517,14.437135999969541,209.0,0.31360810984309245,0.0,4,4,4,4,5,6,8,10,14,14,14
GET,/owners/9,171,0,4,3.806852578945145,2.1323569999367464,11.064916000009362,216.0,0.2852499296977064,0.0,4,4,4,4,5,6,8,8,11,11,11
GET,/vets,1121,0,6,6.822175907223351,2.713210000138133,274.8499569999012,653.0,1.869971761351631,0.0,6,7,7,8,9,11,16,21,47,270,270
,Aggregated,5923,0,6,11.668031591589969,1.5752480001083313,274.8499569999012,16224.234171872362,9.880323588301257,0.0,6,13,18,21,27,30,33,38,110,270,270
