Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,5896,0,55,56.70337121828441,21.919155999967188,249.12177999999585,168473.9631953867,9.835771118895618,0.0,55,62,66,69,76,84,94,100,130,250,250
POST,/owners,1459,0,3,3.143361502396588,1.389990999996371,80.83043299984638,124.58875942426319,2.4339196171079895,0.0,3,3,3,4,4,4,5,7,36,81,81
GET,/owners/1,476,0,3,2.5467095924399543,1.1761029998069716,5.966125999975702,209.0,0.7940683603450329,0.0,3,3,3,3,3,4,4,4,6,6,6
GET,/owners/10,443,0,3,2.558319146732601,1.0721380001541547,8.200956000109727,293.0,0.7390174025900201,0.0,3,3,3,3,3,4,4,4,8,8,8
GET,/owners/2,446,0,3,2.5544683789286515,1.2441809999472753,7.7528470001198,214.0,0.7440220351132032,0.0,3,3,3,3,3,3,4,4,8,8,8
GET,/owners/3,435,0,3,2.5989419907979947,1.1677610000333516,8.51553799998328,291.0,0.7256717158615322,0.0,3,3,3,3,3,4,4,5,9,9,9
GET,/owners/4,442,0,2,2.561672183265641,1.1872200000198063,10.27495799985445,208.0,0.7373491917489592,0.0,2,3,3,3,3,4,4,4,10,10,10
GET,/owners/5,434,0,3,2.5419033686611527,0.9849179998582258,7.478347999949619,211.0,0.7240035050204712,0.0,3,3,3,3,3,4,4,4,7,7,7
GET,/owners/6,417,0,3,2.621783491606924,0.9669129999565484,8.12372299992603,283.0,0.6956439207224343,0.0,3,3,3,3,3,4,4,4,8,8,8
GET,/owners/7,402,0,3,2.635283169153279,1.0975919999509642,17.907687999922928,202.0,0.6706207581065194,0.0,3,3,3,3,3,4,4,4,18,18,18
GET,/owners/8,467,0,3,2.5490648822270785,1.1199799998848903,5.194082000116396,209.0,0.779054462775484,0.0,3,3,3,3,3,4,4,4,5,5,5
GET,/owners/9,501,0,3,2.5573467584882326,0.974690000020928,6.789067999989129,216.0,0.8357736313715578,0.0,3,3,3,3,3,4,4,4,7,7,7
GET,/vets,2915,0,4,3.641264668266594,1.4606020001792785,24.96221000001242,653.0,4.862834601692796,0.0,4,4,4,4,5,5,6,6,13,25,25
,Aggregated,14733,0,4,24.50272763164376,0.9669129999565484,249.12177999999585,67633.72110228738,24.57775032135162,0.0,4,40,50,55,66,74,84,92,110,230,250
