Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,2433,51,19,19.686161903011083,1.8436099999235012,329.6083989998806,37429.417180435674,4.063382958465974,0.08517572169410796,19,23,26,27,29,32,35,39,50,330,330
POST,/owners,579,18,5,4.894409518115913,2.2402559998226934,97.27449599995452,119.89291882556131,0.9669949580566375,0.03006201942144987,5,5,5,5,6,7,8,10,97,97,97
GET,/owners/1,192,7,4,4.13332402085113,1.939802999913809,69.5207680000749,201.38020833333334,0.3206615404954653,0.011690785330563839,4,4,4,4,5,5,7,8,70,70,70
GET,/owners/10,176,4,4,3.9300782272820554,2.060439000160841,19.365838000339863,286.34090909090907,0.2939397454541765,0.0066804487603221935,4,4,4,4,5,6,7,10,19,19,19
GET,/owners/2,178,7,4,3.8751467865612734,1.84580899986031,12.876372000391711,205.58426966292134,0.2972799698343376,0.011690785330563839,4,4,4,4,5,6,7,8,13,13,13
GET,/owners/3,182,8,4,3.7390482307873154,1.6357309996237746,11.634382999545778,278.2087912087912,0.3039604185946598,0.013360897520644387,4,4,4,4,5,5,7,7,12,12,12
GET,/owners/4,164,3,4,3.7202765122013415,1.8176909998146584,8.282808000330988,204.1951219512195,0.2738983991732099,0.005010336570241645,4,4,4,4,5,5,7,8,8,8,8
GET,/owners/5,151,5,4,3.768415423832905,1.7182319998028106,11.170626999955857,204.01324503311258,0.2521869407021628,0.00835056095040274,4,4,4,4,5,6,7,9,11,11,11
GET,/owners/6,193,6,4,3.7776515854758133,2.108560000124271,10.656695999387011,274.2020725388601,0.3223316526855458,0.01002067314048329,4,4,4,4,5,6,8,10,11,11,11
GET,/owners/7,186,2,4,3.629981360205342,2.096635999805585,6.645466999543714,199.8279569892473,0.310640867354982,0.0033402243801610968,4,4,4,4,4,5,5,6,7,7,7
GET,/owners/8,159,3,4,6.046735163524644,1.6059090003182064,345.8649220001462,205.0566037735849,0.2655478382228072,0.005010336570241645,4,4,4,4,5,6,8,12,350,350,350
GET,/owners/9,193,6,4,4.1323616061761665,1.7431930000384455,47.93755899936514,209.28497409326425,0.3223316526855458,0.01002067314048329,4,4,4,4,5,6,8,13,48,48,48
GET,/vets,1182,25,6,7.021033972074529,2.251545999570226,434.72234000000753,639.188663282572,1.974072608675208,0.041752804752013706,6,7,7,8,9,12,15,18,200,430,430
,Aggregated,5968,145,6,11.0970388922605,1.6059090003182064,434.72234000000753,15464.875837801608,9.967229550400713,0.2421662675616795,6,12,17,19,26,29,32,35,70,430,430
