Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners,11505,5753,7,21.31084724519961,0.40793199968902627,1243.6804709996068,46616.92890047805,38.476103858439124,19.239724076279902,7,23,33,39,51,61,82,140,670,1200,1200
POST,/owners,2808,1415,2,5.420357037032021,0.44495099973573815,901.185787999566,61.57051282051282,9.390777890873277,4.732176180764134,2,3,3,3,4,6,13,68,750,900,900
GET,/owners/1,885,445,2,3.1297990531083224,0.3836070000033942,210.3230729999268,103.909604519774,2.9597002968030095,1.4882108837032082,2,2,2,3,3,4,13,26,210,210,210
GET,/owners/10,892,456,2,4.354614316137368,0.5673340001521865,429.28835499969864,143.2152466367713,2.983110355647779,1.5249981190307031,2,2,2,3,3,5,7,38,430,430,430
GET,/owners/2,884,457,2,3.236838541851165,0.49525400027050637,375.4507600006036,103.36877828054298,2.956356002682328,1.5283424131513845,2,2,2,3,3,4,8,34,380,380,380
GET,/owners/3,839,425,2,3.1991401156097856,0.5568940005105105,237.85241699988546,143.59237187127533,2.8058627672516665,1.4213250012895808,2,2,2,3,3,4,7,23,240,240,240
GET,/owners/4,864,438,2,3.6637426342704456,0.5757099997936166,230.13982599968585,102.55555555555556,2.889470120268701,1.4648008248584385,2,2,2,3,3,5,13,54,230,230,230
GET,/owners/5,864,426,2,3.7927756272998288,0.5469069992614095,421.7356400004064,106.96527777777777,2.889470120268701,1.4246692954102622,2,2,2,3,3,4,7,24,420,420,420
GET,/owners/6,914,449,2,3.9448970153239964,0.5980420000923914,698.4851670003991,143.97702407002188,3.056684826302769,1.5015880601859337,2,2,2,3,3,4,19,34,700,700,700
GET,/owners/7,910,446,2,3.887833602188798,0.4958320005243877,596.7710100003387,102.9978021978022,3.0433076498200435,1.4915551778238896,2,2,2,3,3,4,15,42,600,600,600
GET,/owners/8,866,431,2,3.356790744814298,0.5805780001537642,316.15079600032914,104.98267898383372,2.8961587085100637,1.4413907660136691,2,2,2,3,3,5,11,26,320,320,320
GET,/owners/9,899,424,2,5.316089746388525,0.5201780004426837,948.5139489997891,114.12680756395996,3.006520414492549,1.4179807071688995,2,2,3,3,3,5,12,54,950,950,950
GET,/vets,5770,0,4,4.081027338471962,1.2737489996652585,47.7547370001048,653.0,19.296577076331484,0.0,4,4,4,4,5,7,10,14,36,48,48
,Aggregated,28900,11565,3,10.98342427384034,0.3836070000033942,1243.6804709996068,18730.100034602077,96.6501000876915,38.676761505680005,3,4,5,10,34,48,64,85,520,1200,1200
